Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar capacity
2018,1,26,17,0.645812651
2018,1,26,18,0.661389201
2018,1,26,19,0.622721357
2018,1,26,20,0.609921202
2018,1,26,21,0.61691795
2018,1,26,22,0.588832532
2018,1,26,23,0.43996635
2018,1,26,24,0.141982473
2018,1,27,1,0
2018,1,27,2,0
2018,1,27,3,0
2018,1,27,4,0
2018,1,27,5,0
2018,1,27,6,0
2018,1,27,7,0
2018,1,27,8,0
2018,1,27,9,0
2018,1,27,10,0
2018,1,27,11,0
2018,1,27,12,0
2018,1,27,13,0
2018,1,27,14,0.000114838
2018,1,27,15,0.359896508
2018,1,27,16,0.734323003
2018,1,27,17,0.737746285
2018,1,27,18,0.699077517
2018,1,27,19,0.676650007
2018,1,27,20,0.676532342
2018,1,27,21,0.692377387
2018,1,27,22,0.731180663
2018,1,27,23,0.591431179
2018,1,27,24,0.171076044
2018,1,28,1,0
2018,1,28,2,0
2018,1,28,3,0
2018,1,28,4,0
2018,1,28,5,0
2018,1,28,6,0
2018,1,28,7,0
2018,1,28,8,0
2018,1,28,9,0
2018,1,28,10,0
2018,1,28,11,0
2018,1,28,12,0
2018,1,28,13,0
2018,1,28,14,0.000153791
2018,1,28,15,0.357377251
2018,1,28,16,0.742504627
2018,1,28,17,0.736041586
2018,1,28,18,0.695070923
2018,1,28,19,0.673821934
2018,1,28,20,0.673076225
2018,1,28,21,0.686269006
2018,1,28,22,0.717093417
2018,1,28,23,0.587196558
2018,1,28,24,0.165091346
2018,1,29,1,0
2018,1,29,2,0
2018,1,29,3,0
2018,1,29,4,0
2018,1,29,5,0
2018,1,29,6,0
2018,1,29,7,0
2018,1,29,8,0
2018,1,29,9,0
2018,1,29,10,0
2018,1,29,11,0
2018,1,29,12,0
2018,1,29,13,0
2018,1,29,14,0.000204986
2018,1,29,15,0.404906729
2018,1,29,16,0.743669446
2018,1,29,17,0.742295377
2018,1,29,18,0.701132734
2018,1,29,19,0.678974252
2018,1,29,20,0.67809047
2018,1,29,21,0.693730226
2018,1,29,22,0.724017276
2018,1,29,23,0.652087483
2018,1,29,24,0.221592721
2018,1,30,1,0
2018,1,30,2,0
2018,1,30,3,0
2018,1,30,4,0
2018,1,30,5,0
2018,1,30,6,0
2018,1,30,7,0
2018,1,30,8,0
2018,1,30,9,0
2018,1,30,10,0
2018,1,30,11,0
2018,1,30,12,0
2018,1,30,13,0
2018,1,30,14,0.000277213
2018,1,30,15,0.448008297
2018,1,30,16,0.738097272
2018,1,30,17,0.732272426
2018,1,30,18,0.693523908
2018,1,30,19,0.667202207
2018,1,30,20,0.662936772
2018,1,30,21,0.675680316
2018,1,30,22,0.699444487
2018,1,30,23,0.622781796
2018,1,30,24,0.211440263
2018,1,31,1,0
2018,1,31,2,0
2018,1,31,3,0
2018,1,31,4,0
2018,1,31,5,0
2018,1,31,6,0
2018,1,31,7,0
2018,1,31,8,0
2018,1,31,9,0
2018,1,31,10,0
2018,1,31,11,0
2018,1,31,12,0
2018,1,31,13,0
2018,1,31,14,0.00028353
2018,1,31,15,0.409456897
2018,1,31,16,0.709867921
2018,1,31,17,0.723831894
2018,1,31,18,0.6832717
2018,1,31,19,0.661605452
2018,1,31,20,0.661156438
2018,1,31,21,0.671504349
2018,1,31,22,0.685708159
2018,1,31,23,0.570664818
2018,1,31,24,0.202046124
2018,2,1,1,0
2018,2,1,2,0
2018,2,1,3,0
2018,2,1,4,0
2018,2,1,5,0
2018,2,1,6,0
2018,2,1,7,0
2018,2,1,8,0
2018,2,1,9,0
2018,2,1,10,0
2018,2,1,11,0
2018,2,1,12,0
2018,2,1,13,0
2018,2,1,14,0.000350265
2018,2,1,15,0.454475517
2018,2,1,16,0.731265714
2018,2,1,17,0.746886526
2018,2,1,18,0.703933898
2018,2,1,19,0.679252352
2018,2,1,20,0.674167657
2018,2,1,21,0.690543042
2018,2,1,22,0.701661133
2018,2,1,23,0.585817613
2018,2,1,24,0.208197375
2018,2,2,1,0
2018,2,2,2,0
2018,2,2,3,0
2018,2,2,4,0
2018,2,2,5,0
2018,2,2,6,0
2018,2,2,7,0
2018,2,2,8,0
2018,2,2,9,0
2018,2,2,10,0
2018,2,2,11,0
2018,2,2,12,0
2018,2,2,13,0
2018,2,2,14,0.00037537
2018,2,2,15,0.33872652
2018,2,2,16,0.592751203
2018,2,2,17,0.662891712
2018,2,2,18,0.648805393
2018,2,2,19,0.624858805
2018,2,2,20,0.620869405
2018,2,2,21,0.631654495
2018,2,2,22,0.614879932
2018,2,2,23,0.501534299
2018,2,2,24,0.196376598
2018,2,3,1,0
2018,2,3,2,0
2018,2,3,3,0
2018,2,3,4,0
2018,2,3,5,0
2018,2,3,6,0
2018,2,3,7,0
2018,2,3,8,0
2018,2,3,9,0
2018,2,3,10,0
2018,2,3,11,0
2018,2,3,12,0
2018,2,3,13,0
2018,2,3,14,0.000353267
2018,2,3,15,0.30425031
2018,2,3,16,0.501281889
2018,2,3,17,0.592915874
2018,2,3,18,0.60881488
2018,2,3,19,0.590182798
2018,2,3,20,0.57788467
2018,2,3,21,0.588623644
2018,2,3,22,0.618377028
2018,2,3,23,0.574971954
2018,2,3,24,0.248793115
2018,2,4,1,0
2018,2,4,2,0
2018,2,4,3,0
2018,2,4,4,0
2018,2,4,5,0
2018,2,4,6,0
2018,2,4,7,0
2018,2,4,8,0
2018,2,4,9,0
2018,2,4,10,0
2018,2,4,11,0
2018,2,4,12,0
2018,2,4,13,0
2018,2,4,14,0.000537472
2018,2,4,15,0.483520359
2018,2,4,16,0.736156308
2018,2,4,17,0.732704224
2018,2,4,18,0.69809246
2018,2,4,19,0.676405183
2018,2,4,20,0.676277419
2018,2,4,21,0.691618495
2018,2,4,22,0.708459599
2018,2,4,23,0.611102667
2018,2,4,24,0.264167148
2018,2,5,1,7.62E-07
2018,2,5,2,0
2018,2,5,3,0
2018,2,5,4,0
2018,2,5,5,0
2018,2,5,6,0
2018,2,5,7,0
2018,2,5,8,0
2018,2,5,9,0
2018,2,5,10,0
2018,2,5,11,0
2018,2,5,12,0
2018,2,5,13,0
2018,2,5,14,0.000649567
2018,2,5,15,0.429296451
2018,2,5,16,0.687545839
2018,2,5,17,0.73198718
2018,2,5,18,0.697964936
2018,2,5,19,0.676834818
2018,2,5,20,0.673619645
2018,2,5,21,0.686738394
2018,2,5,22,0.70604726
2018,2,5,23,0.621886857
2018,2,5,24,0.282047656
2018,2,6,1,4.46E-06
2018,2,6,2,0
2018,2,6,3,0
2018,2,6,4,0
2018,2,6,5,0
2018,2,6,6,0
2018,2,6,7,0
2018,2,6,8,0
2018,2,6,9,0
2018,2,6,10,0
2018,2,6,11,0
2018,2,6,12,0
2018,2,6,13,0
2018,2,6,14,0.000424196
2018,2,6,15,0.258085381
2018,2,6,16,0.481016356
2018,2,6,17,0.558553361
2018,2,6,18,0.566539479
2018,2,6,19,0.566525734
2018,2,6,20,0.571526292
2018,2,6,21,0.560286452
2018,2,6,22,0.515178544
2018,2,6,23,0.376720131
2018,2,6,24,0.145499437
