Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,wind capacity
2018,1,21,24,0.993926444
2018,1,22,1,1
2018,1,22,2,1
2018,1,22,3,1
2018,1,22,4,0.991052966
2018,1,22,5,0.984254079
2018,1,22,6,0.973243244
2018,1,22,7,0.9634696
2018,1,22,8,0.955044919
2018,1,22,9,0.941402425
2018,1,22,10,0.934704198
2018,1,22,11,0.927416837
2018,1,22,12,0.928498758
2018,1,22,13,0.926791985
2018,1,22,14,0.911430004
2018,1,22,15,0.552867305
2018,1,22,16,0.538918026
2018,1,22,17,0.792582736
2018,1,22,18,0.794351069
2018,1,22,19,0.774160399
2018,1,22,20,0.741746788
2018,1,22,21,0.699123922
2018,1,22,22,0.636784825
2018,1,22,23,0.53032211
2018,1,22,24,0.561218709
2018,1,23,1,0.425720494
2018,1,23,2,0.297797448
2018,1,23,3,0.216955861
2018,1,23,4,0.173843807
2018,1,23,5,0.174067243
2018,1,23,6,0.225959247
2018,1,23,7,0.27520124
2018,1,23,8,0.285553724
2018,1,23,9,0.266625318
2018,1,23,10,0.248391362
2018,1,23,11,0.226061642
2018,1,23,12,0.172305258
2018,1,23,13,0.112090039
2018,1,23,14,0.072416294
2018,1,23,15,0.047511255
2018,1,23,16,0.006538472
2018,1,23,17,0.007361755
2018,1,23,18,0.021664705
2018,1,23,19,0.028766
2018,1,23,20,0.029419098
2018,1,23,21,0.023190788
2018,1,23,22,0.015277794
2018,1,23,23,0.010669831
2018,1,23,24,0.028774999
2018,1,24,1,0.077085088
2018,1,24,2,0.142020654
2018,1,24,3,0.196306651
2018,1,24,4,0.206384699
2018,1,24,5,0.185072932
2018,1,24,6,0.1438967
2018,1,24,7,0.099529622
2018,1,24,8,0.0766259
2018,1,24,9,0.075552083
2018,1,24,10,0.089288675
2018,1,24,11,0.110565971
2018,1,24,12,0.138044055
2018,1,24,13,0.17099537
2018,1,24,14,0.191152053
2018,1,24,15,0.122675241
2018,1,24,16,0.043247734
2018,1,24,17,0.091483609
2018,1,24,18,0.24151078
2018,1,24,19,0.334915283
2018,1,24,20,0.384498219
2018,1,24,21,0.418261565
2018,1,24,22,0.440929551
2018,1,24,23,0.473627169
2018,1,24,24,0.624332482
2018,1,25,1,0.716638907
2018,1,25,2,0.846206758
2018,1,25,3,0.952076524
2018,1,25,4,0.983824592
2018,1,25,5,0.991089961
2018,1,25,6,0.990629298
2018,1,25,7,0.98827873
2018,1,25,8,0.981961145
2018,1,25,9,0.97183096
2018,1,25,10,0.95193072
2018,1,25,11,0.920227674
2018,1,25,12,0.882584573
2018,1,25,13,0.857473177
2018,1,25,14,0.858584167
2018,1,25,15,0.471479655
2018,1,25,16,0.210217706
2018,1,25,17,0.517386148
2018,1,25,18,0.93187479
2018,1,25,19,0.964359703
2018,1,25,20,0.961758662
2018,1,25,21,0.951028402
2018,1,25,22,0.936231344
2018,1,25,23,0.917795139
2018,1,25,24,0.957512722
2018,1,26,1,0.986143864
2018,1,26,2,0.976819767
2018,1,26,3,0.971007663
2018,1,26,4,0.970190926
2018,1,26,5,0.964498811
2018,1,26,6,0.950246266
2018,1,26,7,0.920336747
2018,1,26,8,0.899760092
2018,1,26,9,0.851132805
2018,1,26,10,0.807543493
2018,1,26,11,0.7764817
2018,1,26,12,0.754851564
2018,1,26,13,0.713072836
2018,1,26,14,0.666518963
2018,1,26,15,0.572234352
2018,1,26,16,0.556677199
2018,1,26,17,0.593762223
2018,1,26,18,0.654036561
2018,1,26,19,0.748897261
2018,1,26,20,0.733443329
2018,1,26,21,0.665815693
2018,1,26,22,0.595509697
2018,1,26,23,0.547703674
2018,1,26,24,0.675731256
2018,1,27,1,0.729108732
2018,1,27,2,0.800416753
2018,1,27,3,0.830402832
2018,1,27,4,0.800915421
2018,1,27,5,0.729125538
2018,1,27,6,0.676704339
2018,1,27,7,0.622972676
2018,1,27,8,0.580044169
2018,1,27,9,0.569721812
2018,1,27,10,0.543693086
2018,1,27,11,0.52336398
2018,1,27,12,0.513690397
2018,1,27,13,0.505489108
2018,1,27,14,0.472229748
2018,1,27,15,0.247153204
2018,1,27,16,0.247275141
2018,1,27,17,0.261866864
2018,1,27,18,0.212982217
2018,1,27,19,0.16048364
2018,1,27,20,0.132478857
2018,1,27,21,0.126162674
2018,1,27,22,0.128850373
2018,1,27,23,0.134667268
2018,1,27,24,0.24366082
2018,1,28,1,0.344980956
2018,1,28,2,0.404748686
2018,1,28,3,0.444875129
2018,1,28,4,0.459638731
2018,1,28,5,0.442606134
2018,1,28,6,0.418227189
2018,1,28,7,0.379726726
2018,1,28,8,0.335744606
2018,1,28,9,0.298007105
2018,1,28,10,0.286459084
2018,1,28,11,0.286761707
2018,1,28,12,0.291333475
2018,1,28,13,0.294992342
2018,1,28,14,0.296029744
2018,1,28,15,0.165778253
2018,1,28,16,0.035315449
2018,1,28,17,0.044812563
2018,1,28,18,0.052954137
2018,1,28,19,0.040222964
2018,1,28,20,0.032236048
